Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project_4.PrjPcb|ReportField=ProjectFullPath~C:\Users\DELL\Desktop\超级电容  开源文件\超级电容原理图及PCB图\PCB_Project_4.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Project_4.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~33|ReportField=ReportTime~16:29:01|ReportField=ReportDate~2018/8/7|ReportField=ReportDateTime~2018/8/7 16:29:01|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018/8/7|ReportField=CurrentTime~16:19:26|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\DELL\Desktop\超级电容  开源文件\超级电容原理图及PCB图\Sheet2.SchDoc|ReportField=DocumentName~Sheet2.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018/8/4|ReportField=Organization~|ReportField=ProjectName~PCB_Project_4.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~PCB_Project_4.PrjPcb|ReportField=DataSourceFullPath~C:\Users\DELL\Desktop\超级电容  开源文件\超级电容原理图及PCB图\PCB_Project_4.PrjPcb
1|端口4P||P4|端口4P|端口4P|1
2|端口2P||P3|端口2P|端口2P|1
3|立柱孔|||立柱孔|立柱孔|1
4|直插件||CAP  100nF|直插件|直插件|1
5|||IN1, IN2, OUT1, OUT2|焊盘2P|焊盘2P|4
6|5w 470R||D G L|大功率电阻|大功率电阻|1
7|MOSFET-P|P-Channel MOSFET|Q2, Q3|TO-252|MOSFET-P|2
8||NPN General Purpose Amplifier|3|SOT-23R|2N3904|1
9|2N3904|NPN General Purpose Amplifier|1, 2|SOT-23R|2N3904|2
10|SS54|DO-214AC/SMA|D2, D4|SMA(DO-214AC)_S2|D Schottky-SMA|2
11|SBT60L 100DC|DO-214AC/SMA|D1, D3|SMA(DO-214AC)_S2|D Schottky-SMA|2
12|POWER||VCC|POWER|POWER|1
13|||CAP|POWER|POWER|1
14|M||M|POWER|POWER|1
15|Res（0402-5205）|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12|0805|Res（0402-5205）|12
